"X1" "X2" "X3" "X4" "X5" "X6" "Y"
"76" "20.67" 5.29 0.375 1 "00160" 0 "-"
"77" "34.08" 6.5 0.125 0 "00443" 0 "-"
"78" "19.17" 0.585 0.585 0 "00160" 0 "-"
"79" "21.67" 1.165 2.5 1 "00180" 20 "-"
"80" "21.50" 9.75 0.25 0 "00140" 0 "-"
"81" "49.58" 19 0 1 "00094" 0 "-"
"82" "27.67" 1.5 2 0 "00368" 0 "-"
"83" "39.83" 0.5 0.25 0 "00288" 0 "-"
"85" "27.25" 0.625 0.455 0 "00200" 0 "-"
"86" "37.17" 4 5 0 "00280" 0 "-"
"88" "25.67" 2.21 4 0 "00188" 0 "-"
"89" "34.00" 4.5 1 0 "00240" 0 "-"
"90" "49.00" 1.5 0 0 "00100" 27 "-"
"91" "62.50" 12.75 5 0 "00112" 0 "-"
"92" "31.42" 15.5 0.5 0 "00120" 0 "-"
"94" "52.33" 1.375 9.46 0 "00200" 100 "-"
"95" "28.75" 1.5 1.5 0 "00000" 225 "-"
"96" "28.58" 3.54 0.5 0 "00171" 0 "-"
"97" "23.00" 0.625 0.125 0 "00180" 1 "-"
"99" "22.50" 11 3 0 "00268" 0 "-"
"100" "28.50" 1 1 2 "00167" 500 "-"
"101" "37.50" 1.75 0.25 0 "00164" 400 "-"
"102" "35.25" 16.5 4 0 "00080" 0 "-"
"103" "18.67" 5 0.375 2 "00000" 38 "-"
"104" "25.00" 12 2.25 2 "00120" 5 "-"
"105" "27.83" 4 5.75 2 "00075" 0 "-"
"106" "54.83" 15.5 0 20 "00152" 130 "-"
"107" "28.75" 1.165 0.5 0 "00280" 0 "-"
"108" "25.00" 11 4.5 0 "00120" 0 "-"
"109" "40.92" 2.25 10 0 "00176" 0 "-"
"110" "19.75" 0.75 0.795 5 "00140" 5 "-"
"111" "29.17" 3.5 3.5 3 "00329" 0 "-"
"112" "24.50" 1.04 0.5 3 "00180" 147 "-"
"113" "24.58" 12.5 0.875 0 "00260" 0 "-"
"114" "33.75" 0.75 1 3 "00212" 0 "-"
"115" "20.67" 1.25 1.375 3 "00140" 210 "-"
"116" "25.42" 1.125 1.29 2 "00200" 0 "-"
"117" "37.75" 7 11.5 7 "00300" 5 "-"
"118" "52.50" 6.5 6.29 15 "00000" 11202 "+"
"119" "57.83" 7.04 14 6 "00360" 1332 "+"
"120" "20.75" 10.335 0.335 1 "00080" 50 "+"
"121" "39.92" 6.21 0.04 1 "00200" 300 "+"
"122" "25.67" 12.5 1.21 67 "00140" 258 "+"
"123" "24.75" 12.5 1.5 12 "00120" 567 "+"
"124" "44.17" 6.665 7.375 3 "00000" 0 "+"
"125" "23.50" 9 8.5 5 "00120" 0 "+"
"126" "34.92" 5 7.5 6 "00000" 1000 "+"
"127" "47.67" 2.5 2.5 12 "00410" 2510 "+"
"128" "22.75" 11 2.5 7 "00100" 809 "+"
"129" "34.42" 4.25 3.25 2 "00274" 610 "+"
"130" "28.42" 3.5 0.835 0 "00280" 0 "+"
"131" "67.75" 5.5 13 1 "00000" 0 "+"
"132" "20.42" 1.835 2.25 1 "00100" 150 "+"
"133" "47.42" 8 6.5 6 "00375" 51100 "+"
"134" "36.25" 5 2.5 6 "00000" 367 "+"
"135" "32.67" 5.5 5.5 12 "00408" 1000 "+"
"136" "48.58" 6.5 6 0 "00350" 0 "+"
"137" "39.92" 0.54 0.5 3 "00200" 1000 "+"
"138" "33.58" 2.75 4.25 6 "00204" 0 "+"
"139" "18.83" 9.5 1.625 6 "00040" 600 "+"
"140" "26.92" 13.5 5 2 "00000" 5000 "+"
"141" "31.25" 3.75 0.625 9 "00181" 0 "+"
"142" "56.50" 16 0 15 "00000" 247 "+"
"143" "43.00" 0.29 1.75 8 "00100" 375 "+"
"144" "22.33" 11 2 1 "00080" 278 "+"
"145" "27.25" 1.665 5.085 9 "00399" 827 "+"
"146" "32.83" 2.5 2.75 6 "00160" 2072 "+"
"147" "23.25" 1.5 2.375 3 "00000" 582 "+"
"148" "40.33" 7.54 8 14 "00000" 2300 "+"
"149" "30.50" 6.5 4 7 "00000" 3065 "+"
"150" "52.83" 15 5.5 14 "00000" 2200 "+"
"151" "46.67" 0.46 0.415 11 "00440" 6 "+"
"152" "58.33" 10 4 14 "00000" 1602 "+"
"153" "37.33" 6.5 4.25 12 "00093" 0 "+"
"154" "23.08" 2.5 1.085 11 "00060" 2184 "+"
"155" "32.75" 1.5 5.5 3 "00000" 0 "+"
"156" "21.67" 11.5 0 11 "00000" 0 "+"
"157" "28.50" 3.04 2.54 1 "00070" 0 "+"
"158" "68.67" 15 0 14 "00000" 3376 "+"
"159" "28.00" 2 4.165 2 "00181" 0 "+"
"160" "34.08" 0.08 0.04 1 "00280" 2000 "+"
"161" "27.67" 2 1 4 "00140" 7544 "+"
"162" "44.00" 2 1.75 2 "00000" 15 "+"
"163" "25.08" 1.71 1.665 1 "00395" 20 "+"
"164" "32.00" 1.75 0.04 0 "00393" 0 "+"
"165" "60.58" 16.5 11 0 "00021" 10561 "+"
"166" "40.83" 10 1.75 0 "00029" 837 "+"
"167" "19.33" 9.5 1 0 "00060" 400 "+"
"168" "32.33" 0.54 0.04 0 "00440" 11177 "+"
"169" "36.67" 3.25 9 0 "00102" 639 "+"
"170" "37.50" 1.125 1.5 0 "00431" 0 "+"
"171" "25.08" 2.54 0.25 0 "00370" 0 "+"
"172" "41.33" 0 15 0 "00000" 0 "+"
"173" "56.00" 12.5 8 0 "00024" 2028 "+"
"174" "49.83" 13.585 8.5 0 "00000" 0 "+"
"175" "22.67" 10.5 1.335 0 "00100" 0 "+"
"176" "27.00" 1.5 0.375 0 "00260" 1065 "+"
"177" "25.00" 12.5 3 0 "00020" 0 "+"
"178" "26.08" 8.665 1.415 0 "00160" 150 "+"
"179" "18.42" 9.25 1.21 4 "00060" 540 "+"
"180" "20.17" 8.17 1.96 14 "00060" 158 "+"
"181" "47.67" 0.29 15 20 "00000" 15000 "+"
"182" "21.25" 2.335 0.5 4 "00080" 0 "+"
"183" "20.67" 3 0.165 3 "00100" 6 "+"
"184" "57.08" 19.5 5.5 7 "00000" 3000 "+"
"185" "22.42" 5.665 2.585 7 "00129" 3257 "+"
"186" "48.75" 8.5 12.5 9 "00181" 1655 "+"
"187" "40.00" 6.5 3.5 1 "00000" 500 "+"
"188" "40.58" 5 5 7 "00000" 3065 "+"
"189" "28.67" 1.04 2.5 5 "00300" 1430 "+"
"190" "33.08" 4.625 1.625 2 "00000" 0 "+"
"191" "21.33" 10.5 3 0 "00000" 0 "+"
"192" "42.00" 0.205 5.125 0 "00400" 0 "+"
"193" "41.75" 0.96 2.5 0 "00510" 600 "+"
"194" "22.67" 1.585 3.085 6 "00080" 0 "+"
"195" "34.50" 4.04 8.5 7 "00195" 0 "+"
"196" "28.25" 5.04 1.5 8 "00144" 7 "+"
"197" "33.17" 3.165 3.165 3 "00380" 0 "+"
"198" "48.17" 7.625 15.5 12 "00000" 790 "+"
"199" "27.58" 2.04 2 3 "00370" 560 "+"
"200" "22.58" 10.04 0.04 9 "00060" 396 "+"
"201" "24.08" 0.5 1.25 1 "00000" 678 "+"
"202" "41.33" 1 2.25 0 "00000" 300 "+"
"204" "20.75" 10.25 0.71 2 "00049" 0 "+"
"205" "36.33" 2.125 0.085 1 "00050" 1187 "+"
"206" "35.42" 12 14 8 "00000" 6590 "+"
"208" "28.67" 9.335 5.665 6 "00381" 168 "+"
"209" "35.17" 2.5 4.5 7 "00150" 1270 "+"
"210" "39.50" 4.25 6.5 16 "00117" 1210 "+"
"211" "39.33" 5.875 10 14 "00399" 0 "+"
"212" "24.33" 6.625 5.5 0 "00100" 0 "+"
"213" "60.08" 14.5 18 15 "00000" 1000 "+"
"214" "23.08" 11.5 3.5 9 "00056" 742 "+"
"215" "26.67" 2.71 5.25 1 "00211" 0 "+"
"216" "48.17" 3.5 3.5 0 "00230" 0 "+"
"217" "41.17" 4.04 7 8 "00320" 0 "+"
"218" "55.92" 11.5 5 5 "00000" 8851 "+"
"219" "53.92" 9.625 8.665 5 "00000" 0 "+"
"220" "18.92" 9.25 1 4 "00080" 500 "+"
"221" "50.08" 12.54 2.29 3 "00156" 0 "+"
"222" "65.42" 11 20 7 "00022" 0 "+"
"223" "17.58" 9 1.375 0 "00000" 0 "+"
"224" "18.83" 9.54 0.085 0 "00100" 0 "+"
"225" "37.75" 5.5 0.125 0 "00228" 0 "+"
"226" "23.25" 4 0.25 0 "00160" 0 "+"
"227" "18.08" 5.5 0.5 0 "00080" 0 "+"
"228" "22.50" 8.46 2.46 0 "00164" 0 "+"
"229" "19.67" 0.375 2 2 "00080" 0 "+"
"230" "22.08" 11 0.665 0 "00100" 0 "+"
"231" "25.17" 3.5 0.625 7 "00000" 7059 "+"
"232" "47.42" 3 13.875 2 "00519" 1704 "+"
"233" "33.50" 1.75 4.5 4 "00253" 857 "+"
"234" "27.67" 13.75 5.75 0 "00487" 500 "+"
"235" "58.42" 21 10 13 "00000" 6700 "+"
"236" "20.67" 1.835 2.085 5 "00220" 2503 "+"
"237" "26.17" 0.25 0 0 "00000" 0 "+"
"238" "21.33" 7.5 1.415 1 "00080" 9800 "+"
"239" "42.83" 4.625 4.58 0 "00000" 0 "+"
"240" "38.17" 10.125 2.5 6 "00520" 196 "+"
"241" "20.50" 10 2.5 0 "00040" 0 "+"
"242" "48.25" 25.085 1.75 3 "00120" 14 "+"
"243" "28.33" 5 11 0 "00070" 0 "+"
"245" "18.50" 2 1.5 2 "00120" 300 "+"
"246" "33.17" 3.04 2.04 1 "00180" 18027 "+"
"247" "45.00" 8.5 14 1 "00088" 2000 "+"
"248" "19.67" 0.21 0.29 11 "00080" 99 "+"
"249" "24.50" 12.75 4.75 2 "00073" 444 "+"
"250" "21.83" 11 0.29 6 "00121" 0 "+"
"251" "40.25" 21.5 20 11 "00000" 1200 "+"
"252" "41.42" 5 5 6 "00470" 0 "+"
"253" "17.83" 11 1 11 "00000" 3000 "+"
"254" "23.17" 11.125 0.46 1 "00100" 0 "+"
"256" "18.17" 10.25 1.085 0 "00320" 13 "-"
"257" "20.00" 11.045 2 0 "00136" 0 "-"
"258" "20.00" 0 0.5 0 "00144" 0 "-"
"259" "20.75" 9.54 0.04 0 "00200" 1000 "-"
"260" "24.50" 1.75 0.165 0 "00132" 0 "-"
"261" "32.75" 2.335 5.75 0 "00292" 0 "-"
"262" "52.17" 0 0 0 "00000" 0 "-"
"263" "48.17" 1.335 0.335 0 "00000" 120 "-"
"264" "20.42" 10.5 0 0 "00154" 32 "-"
"265" "50.75" 0.585 0 0 "00145" 0 "-"
"266" "17.08" 0.085 0.04 0 "00140" 722 "-"
"267" "18.33" 1.21 0 0 "00100" 0 "-"
"268" "32.00" 6 1.25 0 "00272" 0 "-"
"269" "59.67" 1.54 0.125 0 "00260" 0 "+"
"270" "18.00" 0.165 0.21 0 "00200" 40 "+"
"272" "32.33" 2.5 1.25 0 "00280" 0 "-"
"273" "18.08" 6.75 0.04 0 "00140" 0 "-"
"274" "38.25" 10.125 0.125 0 "00160" 0 "-"
"275" "30.67" 2.5 2.25 0 "00340" 0 "-"
"276" "18.58" 5.71 0.54 0 "00120" 0 "-"
"277" "19.17" 5.415 0.29 0 "00080" 484 "-"
"278" "18.17" 10 0.165 0 "00340" 0 "-"
"280" "16.25" 0.835 0.085 0 "00200" 0 "-"
"281" "21.17" 0.875 0.25 0 "00280" 204 "-"
"282" "23.92" 0.585 0.125 0 "00240" 1 "-"
"283" "17.67" 4.46 0.25 0 "00080" 0 "-"
"284" "16.50" 1.25 0.25 1 "00108" 98 "-"
"285" "23.25" 12.625 0.125 2 "00000" 5552 "-"
"286" "17.58" 10 0.165 1 "00120" 1 "-"
"288" "29.50" 0.58 0.29 1 "00340" 2803 "-"
"289" "18.83" 0.415 0.165 1 "00200" 1 "-"
"290" "21.75" 1.75 0 0 "00160" 0 "-"
"291" "23.00" 0.75 0.5 0 "00320" 0 "-"
"292" "18.25" 10 1 1 "00120" 1 "-"
"293" "25.42" 0.54 0.165 1 "00272" 444 "-"
"294" "35.75" 2.415 0.125 2 "00220" 1 "-"
"295" "16.08" 0.335 0 1 "00160" 126 "-"
"296" "31.92" 3.125 3.04 2 "00200" 4 "-"
"297" "69.17" 9 4 1 "00070" 6 "-"
"298" "32.92" 2.5 1.75 2 "00720" 0 "-"
"299" "16.33" 2.75 0.665 1 "00080" 21 "-"
"300" "22.17" 12.125 3.335 2 "00180" 173 "-"
"301" "57.58" 2 6.5 1 "00000" 10 "-"
"302" "18.25" 0.165 0.25 0 "00280" 0 "-"
"303" "23.42" 1 0.5 0 "00280" 0 "-"
"304" "15.92" 2.875 0.085 0 "00120" 0 "-"
"305" "24.75" 13.665 1.5 0 "00280" 1 "-"
"306" "48.75" 26.335 0 0 "00000" 0 "-"
"307" "23.50" 2.75 4.5 0 "00160" 25 "-"
"308" "18.58" 10.29 0.415 0 "00080" 0 "-"
"309" "27.75" 1.29 0.25 0 "00140" 0 "-"
"310" "31.75" 3 0 0 "00160" 20 "-"
"311" "24.83" 4.5 1 0 "00360" 6 "-"
"312" "19.00" 1.75 2.335 0 "00112" 6 "-"
"313" "16.33" 0.21 0.125 0 "00200" 1 "-"
"314" "18.58" 10 0.415 0 "00080" 42 "-"
"315" "16.25" 0 0.25 0 "00060" 0 "-"
"316" "23.00" 0.75 0.5 0 "00320" 0 "-"
"317" "21.17" 0.25 0.25 0 "00280" 204 "-"
"318" "17.50" 22 0 0 "00450" 100000 "+"
"319" "19.17" 0 0 0 "00500" 1 "+"
"320" "36.75" 0.125 1.5 0 "00232" 113 "+"
"321" "21.25" 1.5 1.5 0 "00150" 8 "+"
"322" "18.08" 0.375 10 0 "00300" 0 "+"
"323" "33.67" 0.375 0.375 0 "00300" 44 "+"
"324" "48.58" 0.205 0.25 11 "00380" 2732 "+"
"325" "33.67" 1.25 1.165 0 "00120" 0 "-"
"326" "29.50" 1.085 1 0 "00280" 13 "-"
"327" "30.17" 1.085 0.04 0 "00170" 179 "-"
"328" "40.83" 3.5 0.5 0 "01160" 0 "-"
"329" "34.83" 2.5 3 0 "00200" 0 "-"
"332" "33.25" 2.5 2.5 0 "00000" 2 "-"
"333" "34.08" 2.5 1 0 "00460" 16 "-"
"334" "25.25" 12.5 1 0 "00180" 1062 "-"
"335" "34.75" 2.5 0.5 0 "00348" 0 "-"
"336" "27.67" 0.75 0.165 0 "00220" 251 "-"
"337" "47.33" 6.5 1 0 "00000" 228 "-"
"338" "34.83" 1.25 0.5 0 "00160" 0 "-"
"339" "33.25" 3 2 0 "00180" 0 "-"
"340" "28.00" 3 0.75 0 "00300" 67 "-"
"341" "39.08" 4 3 0 "00480" 0 "-"
"342" "42.75" 4.085 0.04 0 "00108" 100 "-"
"343" "26.92" 2.25 0.5 0 "00640" 4000 "-"
"344" "33.75" 2.75 0 0 "00180" 0 "-"
"345" "38.92" 1.75 0.5 0 "00300" 2 "-"
"346" "62.75" 7 0 0 "00000" 12 "-"
"347" "32.25" 1.5 0.25 0 "00372" 122 "-"
"348" "26.75" 4.5 2.5 0 "00200" 1210 "-"
"349" "63.33" 0.54 0.585 3 "00180" 0 "-"
"350" "27.83" 1.5 2.25 1 "00100" 3 "-"
"351" "26.17" 2 0 0 "00276" 1 "-"
"352" "22.17" 0.585 0 0 "00100" 0 "-"
"353" "22.50" 11.5 1.5 0 "00000" 4000 "-"
"354" "30.75" 1.585 0.585 0 "00000" 0 "-"
"355" "36.67" 2 0.25 0 "00221" 0 "-"
"356" "16.00" 0.165 1 2 "00320" 1 "-"
"357" "41.17" 1.335 0.165 0 "00168" 0 "-"
"358" "19.50" 0.165 0.04 0 "00380" 0 "-"
"359" "32.42" 3 0.165 0 "00120" 0 "-"
"360" "36.75" 4.71 0 0 "00160" 0 "-"
"361" "30.25" 5.5 5.5 0 "00100" 0 "-"
"362" "23.08" 2.5 0.085 0 "00100" 4208 "-"
"363" "26.83" 0.54 0 0 "00100" 0 "-"
"364" "16.92" 0.335 0.29 0 "00200" 0 "-"
"365" "24.42" 2 0.165 2 "00320" 1300 "-"
"366" "42.83" 1.25 13.875 1 "00352" 112 "-"
"367" "22.75" 6.165 0.165 0 "00220" 1000 "-"
"368" "39.42" 1.71 0.165 0 "00400" 0 "-"
"369" "23.58" 11.5 3 0 "00020" 16 "-"
"370" "21.42" 0.75 0.75 0 "00132" 2 "-"
"371" "33.00" 2.5 7 0 "00280" 0 "-"
"372" "26.33" 13 0 0 "00140" 1110 "-"
"373" "45.00" 4.585 1 0 "00240" 0 "-"
"374" "26.25" 1.54 0.125 0 "00100" 0 "-"
"375" "28.17" 0.585 0.04 0 "00260" 1004 "-"
"376" "20.83" 0.5 1 0 "00260" 0 "-"
"377" "28.67" 14.5 0.125 0 "00000" 286 "-"
"378" "20.67" 0.835 2 0 "00240" 0 "-"
"379" "34.42" 1.335 0.125 0 "00440" 4500 "-"
"380" "33.58" 0.25 4 0 "00420" 0 "-"
"381" "43.17" 5 2.25 0 "00141" 0 "-"
"382" "22.67" 7 0.165 0 "00160" 0 "-"
"383" "24.33" 2.5 4.5 0 "00200" 456 "-"
"384" "56.83" 4.25 5 0 "00000" 4 "-"
"385" "22.08" 11.46 1.585 0 "00100" 1212 "-"
"386" "34.00" 5.5 1.5 0 "00060" 0 "-"
"387" "22.58" 1.5 0.54 0 "00120" 67 "-"
"388" "21.17" 0 0.5 0 "00000" 0 "-"
"389" "26.67" 14.585 0 0 "00178" 0 "-"
"390" "22.92" 0.17 0.085 0 "00000" 0 "-"
"391" "15.17" 7 1 0 "00600" 0 "-"
"392" "39.92" 5 0.21 0 "00550" 0 "-"
"393" "27.42" 12.5 0.25 0 "00720" 0 "-"
"394" "24.75" 0.54 1 0 "00120" 1 "-"
"395" "41.17" 1.25 0.25 0 "00000" 195 "-"
"396" "33.08" 1.625 0.54 0 "00000" 0 "-"
"397" "29.83" 2.04 0.04 0 "00128" 1 "-"
"398" "23.58" 0.585 0.125 0 "00120" 87 "-"
"399" "26.17" 12.5 1.25 0 "00000" 17 "-"
"400" "31.00" 2.085 0.085 0 "00300" 0 "-"
"401" "20.75" 5.085 0.29 0 "00140" 184 "-"
"402" "28.92" 0.375 0.29 0 "00220" 140 "-"
"403" "51.92" 6.5 3.085 0 "00073" 0 "-"
"404" "22.67" 0.335 0.75 0 "00160" 0 "-"
"405" "34.00" 5.085 1.085 0 "00480" 0 "-"
"406" "69.50" 6 0 0 "00000" 0 "-"
"408" "19.58" 0.665 1 1 "02000" 2 "-"
"409" "16.00" 3.125 0.085 1 "00000" 6 "-"
"410" "17.08" 0.25 0.335 4 "00160" 8 "-"
"411" "31.25" 2.835 0 5 "00176" 146 "-"
"412" "25.17" 3 1.25 1 "00000" 22 "-"
"413" "22.67" 0.79 0.085 0 "00144" 0 "-"
"414" "40.58" 1.5 0 0 "00300" 0 "-"
"415" "22.25" 0.46 0.125 0 "00280" 55 "-"
"416" "22.25" 1.25 3.25 0 "00280" 0 "-"
"417" "22.50" 0.125 0.125 0 "00200" 70 "-"
"418" "23.58" 1.79 0.54 0 "00136" 1 "-"
"419" "38.42" 0.705 0.375 2 "00225" 500 "-"
"420" "26.58" 2.54 0 0 "00180" 60 "-"
"421" "35.00" 2.5 1 0 "00210" 0 "-"
"422" "20.42" 1.085 1.5 0 "00108" 7 "-"
"423" "29.42" 1.25 1.75 0 "00200" 0 "-"
"424" "26.17" 0.835 1.165 0 "00100" 0 "-"
"425" "33.67" 2.165 1.5 0 "00120" 0 "-"
"426" "24.58" 1.25 0.25 0 "00110" 0 "-"
"427" "27.67" 2.04 0.25 0 "00180" 50 "-"
"428" "37.50" 0.835 0.04 0 "00120" 5 "-"
"429" "49.17" 2.29 0.29 0 "00200" 3 "-"
"430" "33.58" 0.335 0.085 0 "00180" 0 "-"
"431" "51.83" 3 1.5 0 "00180" 4 "-"
"432" "22.92" 3.165 0.165 0 "00160" 1058 "-"
"433" "21.83" 1.54 0.085 0 "00356" 0 "-"
"434" "25.25" 1 0.5 0 "00200" 0 "-"
"435" "58.58" 2.71 2.415 0 "00320" 0 "-"
"436" "19.00" 0 0 4 "00045" 1 "-"
"437" "19.58" 0.585 0 3 "00350" 769 "-"
"438" "53.33" 0.165 0 0 "00062" 27 "-"
"439" "27.17" 1.25 0 1 "00092" 300 "-"
"440" "25.92" 0.875 0.375 2 "00174" 3 "-"
"441" "23.08" 0 1 11 "00000" 0 "-"
"442" "39.58" 5 0 2 "00017" 1 "-"
"443" "30.58" 2.71 0.125 0 "00080" 0 "-"
"444" "17.25" 3 0.04 0 "00160" 40 "-"
"445" "17.67" 0 0 0 "00086" 0 "-"
"447" "16.50" 0.125 0.165 0 "00132" 0 "-"
"448" "27.33" 1.665 0 0 "00340" 1 "-"
"449" "31.25" 1.125 0 1 "00096" 19 "-"
"450" "20.00" 7 0.5 0 "00000" 0 "-"
"452" "39.50" 1.625 1.5 0 "00000" 316 "-"
"453" "36.50" 4.25 3.5 0 "00454" 50 "-"
"454" "29.75" 0.665 0.25 0 "00300" 0 "-"
"455" "52.42" 1.5 3.75 0 "00000" 350 "-"
"456" "36.17" 18.125 0.085 0 "00320" 3552 "-"
"458" "29.67" 0.75 0.04 0 "00240" 0 "-"
"459" "36.17" 5.5 5 0 "00210" 687 "-"
"460" "25.67" 0.29 1.5 0 "00160" 0 "-"
"461" "24.50" 2.415 0 0 "00120" 0 "-"
"462" "24.08" 0.875 0.085 4 "00254" 1950 "-"
"463" "21.92" 0.5 0.125 0 "00360" 0 "-"
"464" "36.58" 0.29 0 10 "00200" 18 "-"
"465" "23.00" 1.835 0 1 "00200" 53 "-"
"466" "27.58" 3 2.79 1 "00280" 10 "-"
"467" "31.08" 3.085 2.5 2 "00160" 41 "-"
"468" "30.42" 1.375 0.04 3 "00000" 33 "-"
"469" "22.08" 2.335 0.75 0 "00180" 0 "-"
"470" "16.33" 4.085 0.415 0 "00120" 0 "-"
"471" "21.92" 11.665 0.085 0 "00320" 5 "-"
"472" "21.08" 4.125 0.04 0 "00140" 100 "-"
"473" "17.42" 6.5 0.125 0 "00060" 100 "-"
"474" "19.17" 4 1 0 "00360" 1000 "-"
"475" "20.67" 0.415 0.125 0 "00000" 44 "-"
"476" "26.75" 2 0.75 0 "00080" 0 "-"
"477" "23.58" 0.835 0.085 0 "00220" 5 "-"
"478" "39.17" 2.5 10 0 "00200" 0 "-"
"479" "22.75" 11.5 0.415 0 "00000" 0 "-"
"480" "26.50" 2.71 0.085 0 "00080" 0 "-"
"481" "16.92" 0.5 0.165 6 "00240" 35 "-"
"482" "23.50" 3.165 0.415 1 "00280" 80 "-"
"483" "17.33" 9.5 1.75 10 "00000" 10 "-"
"484" "23.75" 0.415 0.04 2 "00128" 6 "-"
"485" "34.67" 1.08 1.165 0 "00028" 0 "-"
"486" "74.83" 19 0.04 2 "00000" 351 "-"
"487" "28.17" 0.125 0.085 0 "00216" 2100 "-"
"488" "24.50" 13.335 0.04 0 "00120" 475 "-"
"489" "18.83" 3.54 0 0 "00180" 1 "-"
"490" "45.33" 1 0.125 0 "00263" 0 "-"
"491" "47.25" 0.75 2.75 1 "00333" 892 "+"
"492" "24.17" 0.875 4.625 2 "00520" 2000 "+"
"493" "39.25" 9.5 6.5 14 "00240" 4607 "+"
"494" "20.50" 11.835 6 0 "00340" 0 "+"
"495" "18.83" 4.415 3 0 "00240" 0 "+"
